N	Z	A	EL	BE	BEd	MASS	MASSd
54	41	95	Nb	8647.212	0.005	94906831.115	0.545
53	42	95	Mo	8648.720	0.001	94905837.442	0.132
52	43	95	Tc	8622.690	0.053	94907652.287	5.453
51	44	95	Ru	8587.470	0.100	94910404.420	10.200
50	45	95	Rh	8525.370	0.041	94915897.895	4.171
49	46	95	Pd	8428.980	0.032	94924888.512	3.253
48	47	95	Ag	8312#	3#	94936020#	320#
47	48	95	Cd	8167#	4#	94949940#	430#
61	35	96	Br	8184#	3#	95959030#	320#
60	36	96	Kr	8330.851	0.213	95943016.618	22.000
59	37	96	Rb	8408.896	0.035	95934133.393	3.599
58	38	96	Sr	8521.265	0.088	95921712.692	9.098
57	39	96	Y	8569.488	0.063	95915902.953	6.535
56	40	96	Zr	8635.327	0.001	95908277.621	0.122
55	41	96	Nb	8628.886	0.002	95908101.591	0.157
54	42	96	Mo	8653.987	0.001	95904674.774	0.128
53	43	96	Tc	8614.866	0.054	95907866.681	5.524
52	44	96	Ru	8609.412	0.002	95907588.914	0.182
51	45	96	Rh	8534.673	0.104	95914451.710	10.737
50	46	96	Pd	8490.020	0.044	95918213.744	4.502
49	47	96	Ag	8360.290	0.938	95930743.906	96.708
48	48	96	Cd	8259#	4#	95940340#	430#
47	49	96	In	8067#	5#	95959323#	537#
62	35	97	Br	8140#	4#	96963440#	430#
61	36	97	Kr	8269.864	1.344	96949088.784	140.000
60	37	97	Rb	8376.186	0.020	96937177.118	2.052
59	38	97	Sr	8471.856	0.035	96926374.776	3.633
58	39	97	Y	8541.522	0.069	96918280.286	7.213
57	40	97	Zr	8603.779	0.004	96910957.386	0.444
56	41	97	Nb	8623.168	0.044	96908098.414	4.561
55	42	97	Mo	8635.092	0.002	96906016.903	0.176
54	43	97	Tc	8623.725	0.042	96906360.723	4.420
53	44	97	Ru	8604.279	0.028	96907545.779	2.965
52	45	97	Rh	8559.894	0.366	96911327.876	38.071
51	46	97	Pd	8502.430	0.050	96916471.987	5.200
50	47	97	Ag	8422.405	1.135	96923965.326	118.204
49	48	97	Cd	8307#	3#	96935100#	320#
48	49	97	In	8163#	4#	96949340#	430#
63	35	98	Br	8080#	4#	97969672#	429#
62	36	98	Kr	8236#	3#	97952430#	320#
61	37	98	Rb	8330.729	0.164	97941632.317	17.265
60	38	98	Sr	8445.745	0.033	97928691.860	3.463
59	39	98	Y	8497.677	0.081	97922388.360	8.511
58	40	98	Zr	8581.448	0.086	97912735.124	9.072
57	41	98	Nb	8596.301	0.051	97910332.650	5.369
56	42	98	Mo	8635.168	0.002	97905403.608	0.186
55	43	98	Tc	8610.004	0.034	97907211.205	3.628
54	44	98	Ru	8620.313	0.066	97905286.713	6.937
53	45	98	Rh	8560.803	0.121	97910707.740	12.782
52	46	98	Pd	8533.899	0.048	97912698.337	5.090
51	47	98	Ag	8441.686	0.336	97921559.972	35.327
50	48	98	Cd	8378.295	0.529	97927389.317	55.605
49	49	98	In	8230#	3#	97942140#	320#
63	36	99	Kr	8178#	4#	98958390#	430#
62	37	99	Rb	8295.300	0.041	98945119.192	4.327
61	38	99	Sr	8402.552	0.048	98932880.511	5.089
60	39	99	Y	8476.755	0.067	98924154.288	7.114
59	40	99	Zr	8539.264	0.106	98916670.835	11.274
58	41	99	Nb	8578.985	0.121	98911609.371	12.886
57	42	99	Mo	8607.797	0.002	98907707.298	0.245
56	43	99	Tc	8613.610	0.009	98906249.678	0.974
55	44	99	Ru	8608.712	0.003	98905930.278	0.369
54	45	99	Rh	8580.163	0.068	98908124.690	7.189
53	46	99	Pd	8537.930	0.050	98911773.290	5.347
52	47	99	Ag	8474.774	0.063	98917645.768	6.725
51	48	99	Cd	8398.373	0.016	98924925.847	1.700
50	49	99	In	8304#	3#	98934110#	320#
49	50	99	Sn	8160#	5#	98948530#	540#
64	36	100	Kr	8140#	4#	99962370#	430#
63	37	100	Rb	8244.320	0.196	99950351.731	21.000
62	38	100	Sr	8372.234	0.072	99935779.615	7.686
61	39	100	Y	8439.476	0.112	99927721.063	12.008
60	40	100	Zr	8522.153	0.081	99918005.444	8.748
59	41	100	Nb	8548.529	0.080	99914333.963	8.573
58	42	100	Mo	8604.662	0.003	99907467.976	0.323
57	43	100	Tc	8595.118	0.014	99907652.711	1.450
56	44	100	Ru	8619.359	0.003	99904210.452	0.368
55	45	100	Rh	8575.172	0.181	99908114.141	19.458
54	46	100	Pd	8563.566	0.176	99908520.315	18.935
53	47	100	Ag	8484.994	0.050	99916115.445	5.367
52	48	100	Cd	8437.737	0.017	99920348.820	1.799
51	49	100	In	8331.097	1.825	99930957.180	195.942
50	50	100	Sn	8252.974	3.015	99938504.196	323.693
65	36	101	Kr	8081#	5#	100968730#	540#
64	37	101	Rb	8209#	2#	100954004#	215#
63	38	101	Sr	8324.740	0.084	100940606.266	9.103
62	39	101	Y	8413.391	0.070	100930154.138	7.614
61	40	101	Zr	8485.892	0.083	100921453.110	8.951
60	41	101	Nb	8534.835	0.037	100915306.496	4.024
59	42	101	Mo	8572.915	0.003	100910337.641	0.331
58	43	101	Tc	8593.136	0.238	100907305.260	25.768
57	44	101	Ru	8601.365	0.004	100905573.075	0.445
56	45	101	Rh	8588.216	0.058	100906158.905	6.270
55	46	101	Pd	8560.864	0.045	100908284.828	4.925
54	47	101	Ag	8512.546	0.048	100912683.953	5.193
53	48	101	Cd	8450.365	0.015	100918586.211	1.600
52	49	101	In	8371#	2#	100926340#	210#
51	50	101	Sn	8281.102	2.970	100935259.244	322.068
65	37	102	Rb	8157#	3#	101959520#	320#
64	38	102	Sr	8291.220	0.658	101944004.680	72.000
63	39	102	Y	8371.922	0.040	101934327.889	4.377
62	40	102	Zr	8466.355	0.086	101923147.431	9.412
61	41	102	Nb	8504.928	0.025	101918083.697	2.732
60	42	102	Mo	8568.450	0.081	101910288.138	8.923
59	43	102	Tc	8570.650	0.090	101909207.275	9.840
58	44	102	Ru	8607.427	0.004	101904340.300	0.448
57	45	102	Rh	8576.981	0.063	101906834.270	6.881
56	46	102	Pd	8580.290	0.005	101905632.058	0.594
55	47	102	Ag	8517.164	0.080	101911704.540	8.771
54	48	102	Cd	8484.131	0.016	101914481.799	1.784
53	49	102	In	8388.571	0.045	101924105.916	4.909
52	50	102	Sn	8324.430	0.981	101930289.530	107.466
66	37	103	Rb	8117#	4#	102963920#	430#
65	38	103	Sr	8243#	2#	102949090#	210#
64	39	103	Y	8342.638	0.109	102937243.208	12.028
63	40	103	Zr	8425.895	0.090	102927197.240	9.911
62	41	103	Nb	8488.331	0.038	102919453.403	4.224
61	42	103	Mo	8538.328	0.090	102913085.140	9.911
60	43	103	Tc	8566.103	0.095	102909174.008	10.531
59	44	103	Ru	8584.365	0.004	102906314.833	0.475
58	45	103	Rh	8584.192	0.022	102905494.068	2.470
57	46	103	Pd	8571.019	0.009	102906110.840	1.019
56	47	103	Ag	8537.651	0.040	102908960.560	4.400
55	48	103	Cd	8489.754	0.018	102913416.923	1.943
54	49	103	In	8423.721	0.093	102919878.613	10.332
53	50	103	Sn	8341.757	0.686	102928101.962	75.855
52	51	103	Sb	8229#	3#	102939690#	320#
66	38	104	Sr	8210#	3#	103952650#	320#
65	39	104	Y	8298#	4#	103941960#	430#
64	40	104	Zr	8402.377	0.090	103929442.315	10.011
63	41	104	Nb	8453.459	0.026	103922899.115	2.938
62	42	104	Mo	8527.965	0.086	103913740.756	9.576
61	43	104	Tc	8541.149	0.239	103911428.905	26.718
60	44	104	Ru	8587.399	0.024	103905425.360	2.681
59	45	104	Rh	8568.949	0.022	103906645.295	2.472
58	46	104	Pd	8584.848	0.013	103904030.401	1.434
57	47	104	Ag	8536.184	0.041	103908623.725	4.527
56	48	104	Cd	8517.622	0.016	103909856.230	1.795
55	49	104	In	8435.237	0.056	103918214.540	6.200
54	50	104	Sn	8383.911	0.055	103923105.197	6.167
53	51	104	Sb	8256.644	1.177	103936474.502	131.449
67	38	105	Sr	8156#	5#	104958550#	540#
66	39	105	Y	8269.020	12.730	104944959.000	1435.000
65	40	105	Zr	8358.659	0.115	104934014.890	13.008
64	41	105	Nb	8431.692	0.038	104924942.564	4.324
63	42	105	Mo	8494.923	0.086	104916975.159	9.731
62	43	105	Tc	8534.643	0.336	104911657.952	37.857
61	44	105	Ru	8561.900	0.024	104907745.525	2.682
60	45	105	Rh	8572.704	0.024	104905687.806	2.685
59	46	105	Pd	8570.650	0.011	104905079.487	1.222
58	47	105	Ag	8550.370	0.043	104906525.607	4.877
57	48	105	Cd	8516.852	0.013	104909463.895	1.494
56	49	105	In	8464.704	0.098	104914502.324	11.000
55	50	105	Sn	8397.228	0.038	104921268.423	4.263
54	51	105	Sb	8300.992	0.208	104931276.549	23.431
53	52	105	Te	8186.836	2.857	104943304.508	322.084
68	38	106	Sr	8119#	6#	105962651#	644#
67	39	106	Y	8218#	5#	105950560#	540#
66	40	106	Zr	8328.450	4.086	105937144.000	465.000
65	41	106	Nb	8393.271	0.039	105928927.768	4.424
64	42	106	Mo	8479.581	0.086	105918266.218	9.812
63	43	106	Tc	8506.556	0.116	105914356.697	13.150
62	44	106	Ru	8560.940	0.051	105907328.203	5.787
61	45	106	Rh	8553.931	0.051	105907285.901	5.785
60	46	106	Pd	8579.992	0.010	105903480.293	1.186
59	47	106	Ag	8544.639	0.028	105906663.507	3.237
58	48	106	Cd	8539.048	0.010	105906459.797	1.184
57	49	106	In	8470.120	0.115	105913463.603	13.125
56	50	106	Sn	8432.038	0.048	105916957.396	5.465
55	51	106	Sb	8322.012	0.070	105928637.982	8.000
54	52	106	Te	8236.767	0.948	105937498.526	107.934
69	38	107	Sr	8064#	7#	106968975#	751#
68	39	107	Y	8182#	5#	106954520#	540#
67	40	107	Zr	8287.073	10.490	106941621.000	1205.000
66	41	107	Nb	8367.089	0.075	106931589.672	8.612
65	42	107	Mo	8442.280	0.086	106922112.692	9.912
64	43	107	Tc	8492.897	0.081	106915458.485	9.310
63	44	107	Ru	8533.366	0.081	106909969.885	9.310
62	45	107	Rh	8554.103	0.113	106906747.974	12.937
61	46	107	Pd	8560.894	0.011	106905128.064	1.289
60	47	107	Ag	8553.900	0.022	106905091.531	2.557
59	48	107	Cd	8533.351	0.016	106906612.108	1.787
58	49	107	In	8494.021	0.104	106910290.071	11.943
57	50	107	Sn	8439.494	0.050	106915713.651	5.700
56	51	107	Sb	8358.734	0.039	106924150.624	4.452
55	52	107	Te	8256.899	0.662	106935008.356	76.039
54	53	107	I	8146#	3#	106946935#	322#
69	39	108	Y	8134#	6#	107959960#	640#
68	40	108	Zr	8257#	4#	107944870#	430#
67	41	108	Nb	8325.665	0.076	107936074.988	8.842
66	42	108	Mo	8422.219	0.085	107924040.367	9.912
65	43	108	Tc	8462.816	0.081	107918493.541	9.413
64	44	108	Ru	8527.225	0.080	107910185.841	9.318
63	45	108	Rh	8532.670	0.130	107908714.688	15.024
62	46	108	Pd	8567.023	0.010	107903891.805	1.189
61	47	108	Ag	8542.025	0.022	107905950.266	2.563
60	48	108	Cd	8550.019	0.010	107904183.587	1.205
59	49	108	In	8495.251	0.080	107909693.655	9.276
58	50	108	Sn	8469.027	0.050	107911894.292	5.778
57	51	108	Sb	8372.666	0.051	107922226.734	5.900
56	52	108	Te	8303.721	0.050	107929380.471	5.808
55	53	108	I	8174.884	1.225	107943478.321	141.986
70	39	109	Y	8096#	6#	108964358#	751#
69	40	109	Zr	8208#	5#	108950410#	540#
68	41	109	Nb	8297.130	2.371	108939141.000	277.500
67	42	109	Mo	8381.477	0.103	108928431.106	12.010
66	43	109	Tc	8444.178	0.089	108920254.156	10.380
65	44	109	Ru	8496.227	0.082	108913323.756	9.612
64	45	109	Rh	8528.142	0.037	108908749.326	4.336
63	46	109	Pd	8544.882	0.010	108905950.574	1.195
62	47	109	Ag	8547.915	0.012	108904755.773	1.381
61	48	109	Cd	8538.764	0.014	108904986.698	1.649
60	49	109	In	8513.102	0.036	108907149.685	4.261
59	50	109	Sn	8470.518	0.073	108911292.843	8.533
58	51	109	Sb	8404.815	0.048	108918141.204	5.652
57	52	109	Te	8319.330	0.040	108927304.534	4.704
56	53	109	I	8220.016	0.062	108938086.025	7.223
55	54	109	Xe	8107.306	2.753	108950434.948	322.178
70	40	110	Zr	8177#	5#	109953960#	640#
69	41	110	Nb	8255.260	7.621	109943843.000	900.000
68	42	110	Mo	8359.354	0.220	109930710.680	26.004
67	43	110	Tc	8411.259	0.086	109923741.312	10.195
66	44	110	Ru	8486.311	0.081	109914038.548	9.580
65	45	110	Rh	8504.254	0.162	109911079.742	19.114
64	46	110	Pd	8547.162	0.006	109905172.868	0.657
63	47	110	Ag	8532.108	0.012	109906110.719	1.380
62	48	110	Cd	8551.275	0.003	109903007.460	0.407
61	49	110	In	8508.908	0.105	109907170.665	12.402
60	50	110	Sn	8496.087	0.125	109907844.835	14.790
59	51	110	Sb	8412.681	0.054	109916854.286	6.400
58	52	110	Te	8358.115	0.060	109922458.104	7.058
57	53	110	I	8244.043	0.460	109935089.033	54.270
56	54	110	Xe	8159.280	0.918	109944258.765	108.415
71	40	111	Zr	8128#	6#	110959678#	751#
70	41	111	Nb	8223#	3#	110947530#	320#
69	42	111	Mo	8315.292	0.113	110935652.016	13.502
68	43	111	Tc	8390.089	0.095	110925899.016	11.359
67	44	111	Ru	8452.957	0.087	110917567.616	10.394
66	45	111	Rh	8495.631	0.062	110911642.531	7.354
65	46	111	Pd	8521.749	0.007	110907690.347	0.785
64	47	111	Ag	8534.787	0.013	110905296.816	1.565
63	48	111	Cd	8537.079	0.003	110904183.766	0.383
62	49	111	In	8522.282	0.031	110905107.233	3.675
61	50	111	Sn	8493.130	0.048	110907741.126	5.728
60	51	111	Sb	8440.120	0.080	110913218.189	9.500
59	52	111	Te	8367.763	0.058	110921000.589	6.900
58	53	111	I	8282.934	0.043	110930269.239	5.103
57	54	111	Xe	8180.766	0.781	110941603.989	93.076
56	55	111	Cs	8069#	2#	110954030#	210#
72	40	112	Zr	8094#	6#	111963703#	751#
71	41	112	Nb	8180#	3#	111952470#	320#
70	42	112	Mo	8291#	2#	111938310#	210#
69	43	112	Tc	8353.621	0.049	111929941.644	5.920
68	44	112	Ru	8439.242	0.086	111918806.972	10.305
67	45	112	Rh	8468.870	0.394	111914404.705	47.327
66	46	112	Pd	8520.724	0.058	111907329.986	7.025
65	47	112	Ag	8516.080	0.022	111907048.550	2.600
64	48	112	Cd	8544.730	0.002	111902763.883	0.268
63	49	112	In	8514.667	0.038	111905538.704	4.563
62	50	112	Sn	8513.618	0.003	111904824.877	0.315
61	51	112	Sb	8443.632	0.159	111912399.903	19.140
60	52	112	Te	8400.652	0.075	111916727.850	9.000
59	53	112	I	8299.879	0.091	111928004.550	11.000
58	54	112	Xe	8230.064	0.074	111935559.071	8.891
57	55	112	Cs	8100.435	0.775	111950305.341	93.178
72	41	113	Nb	8146#	4#	112956510#	430#
71	42	113	Mo	8245#	3#	112943650#	322#
70	43	113	Tc	8329.464	0.030	112932569.033	3.600
69	44	113	Ru	8402.688	0.326	112922846.396	39.587
68	45	113	Rh	8456.821	0.063	112915439.567	7.653
67	46	113	Pd	8492.584	0.061	112910261.267	7.455
66	47	113	Ag	8516.065	0.147	112906572.858	17.866
65	48	113	Cd	8526.987	0.002	112904408.097	0.262
64	49	113	In	8522.929	0.002	112904060.448	0.202
63	50	113	Sn	8506.811	0.014	112905175.845	1.690
62	51	113	Sb	8465.275	0.152	112909374.652	18.457
61	52	113	Te	8404.636	0.247	112915891.000	30.000
60	53	113	I	8333.752	0.071	112923650.064	8.600
59	54	113	Xe	8247.927	0.061	112933221.666	7.342
58	55	113	Cs	8148.622	0.076	112944428.488	9.207
57	56	113	Ba	8036#	3#	112957290#	320#
73	41	114	Nb	8100#	4#	113962010#	540#
72	42	114	Mo	8220#	3#	113946530#	320#
71	43	114	Tc	8290.259	3.800	113937090.000	465.000
70	44	114	Ru	8385.340	0.031	113924613.780	3.811
69	45	114	Rh	8426.624	0.628	113918721.296	76.824
68	46	114	Pd	8488.010	0.061	113910368.780	7.456
67	47	114	Ag	8493.778	0.040	113908823.031	4.900
66	48	114	Cd	8531.513	0.002	113903364.990	0.296
65	49	114	In	8511.973	0.003	113904916.402	0.323
64	50	114	Sn	8522.566	0.000	113902780.132	0.031
63	51	114	Sb	8462.518	0.192	113909289.191	23.444
62	52	114	Te	8432.778	0.245	113912089.000	30.000
61	53	114	I	8346#	1#	113921850#	160#
60	54	114	Xe	8289.205	0.098	113927980.331	12.000
59	55	114	Cs	8173.538	0.624	113941296.175	76.331
58	56	114	Ba	8089.686	0.901	113950718.495	110.227
74	41	115	Nb	8065#	4#	114966340#	540#
73	42	115	Mo	8175#	3#	114951960#	430#
72	43	115	Tc	8268.527	6.865	114939538.000	847.500
71	44	115	Ru	8347.547	0.770	114928942.393	95.004
70	45	115	Rh	8410.658	0.064	114920310.993	7.854
69	46	115	Pd	8457.738	0.118	114913658.718	14.541
68	47	115	Ag	8490.555	0.159	114908767.363	19.611
67	48	115	Cd	8510.724	0.006	114905437.417	0.699
66	49	115	In	8516.546	0.000	114903878.773	0.012
65	50	115	Sn	8514.069	0.000	114903344.697	0.016
64	51	115	Sb	8480.915	0.139	114906598.000	17.203
63	52	115	Te	8431.150	0.243	114911902.000	30.000
62	53	115	I	8374.564	0.251	114918048.000	31.000
61	54	115	Xe	8300.970	0.105	114926293.945	13.000
60	55	115	Cs	8216#	1#	114935910#	110#
59	56	115	Ba	8117#	2#	114947375#	215#
74	42	116	Mo	8146#	4#	115955448#	537#
73	43	116	Tc	8225#	3#	115944760#	320#
72	44	116	Ru	8326.883	0.032	115931219.193	4.000
71	45	116	Rh	8377.615	0.636	115924061.645	79.261
70	46	116	Pd	8449.280	0.061	115914297.210	7.656
69	47	116	Ag	8465.907	0.028	115911386.812	3.500
68	48	116	Cd	8512.350	0.001	115904763.230	0.172
67	49	116	In	8501.617	0.002	115905259.992	0.236
66	50	116	Sn	8523.116	0.001	115901742.824	0.103
65	51	116	Sb	8475.821	0.044	115906792.583	5.539
64	52	116	Te	8455.687	0.241	115908460.000	30.000
63	53	116	I	8381.902	0.833	115916808.658	103.695
62	54	116	Xe	8336.834	0.112	115921581.112	14.000
61	55	116	Cs	8235#	1#	115933395#	108#
60	56	116	Ba	8164#	2#	115941406#	215#
59	57	116	La	8037#	3#	115956365#	335#
75	42	117	Mo	8100#	4#	116961170#	537#
74	43	117	Tc	8197#	3#	116948060#	430#
73	44	117	Ru	8285.562	3.702	116936135.000	465.000
72	45	117	Rh	8359.281	0.076	116926035.623	9.546
71	46	117	Pd	8416.929	0.062	116917954.944	7.785
70	47	117	Ag	8459.452	0.116	116911773.974	14.570
69	48	117	Cd	8488.973	0.009	116907226.038	1.087
68	49	117	In	8503.865	0.042	116904515.712	5.239
67	50	117	Sn	8509.611	0.004	116902954.017	0.518
66	51	117	Sb	8487.897	0.072	116904841.535	9.057
65	52	117	Te	8450.919	0.115	116908646.313	14.446
64	53	117	I	8404.409	0.224	116913648.314	28.123
63	54	117	Xe	8344.297	0.089	116920358.760	11.141
62	55	117	Cs	8271.864	0.533	116928616.726	67.000
61	56	117	Ba	8187.953	2.140	116938316.561	268.750
60	57	117	La	8087#	2#	116950111#	215#
76	42	118	Mo	8069#	4#	117964970#	537#
75	43	118	Tc	8157#	3#	117952990#	430#
74	44	118	Ru	8265#	2#	117938529#	215#
73	45	118	Rh	8322.858	0.205	117930340.443	26.017
72	46	118	Pd	8405.222	0.021	117919066.847	2.673
71	47	118	Ag	8433.889	0.021	117914595.487	2.700
70	48	118	Cd	8487.834	0.169	117906921.955	21.471
69	49	118	In	8485.667	0.066	117906356.659	8.322
68	50	118	Sn	8516.533	0.004	117901606.609	0.536
67	51	118	Sb	8478.915	0.026	117905532.174	3.238
66	52	118	Te	8469.746	0.157	117905853.839	19.840
65	53	118	I	8406.120	0.167	117913074.000	21.213
64	54	118	Xe	8374.981	0.088	117916178.680	11.141
63	55	118	Cs	8286.404	0.108	117926559.519	13.690
62	56	118	Ba	8228#	2#	117933060#	210#
61	57	118	La	8113#	3#	117946795#	322#
76	43	119	Tc	8128#	4#	118956660#	540#
75	44	119	Ru	8224#	3#	118943570#	320#
74	45	119	Rh	8303.394	0.078	118932556.952	10.000
73	46	119	Pd	8368.964	0.069	118923340.459	8.851
72	47	119	Ag	8423.212	0.124	118915570.293	15.783
71	48	119	Cd	8461.438	0.317	118909846.903	40.467
70	49	119	In	8486.143	0.061	118905850.944	7.844
69	50	119	Sn	8499.449	0.006	118903311.216	0.778
68	51	119	Sb	8487.910	0.065	118903945.512	8.267
67	52	119	Te	8462.066	0.067	118906407.148	8.541
66	53	119	I	8426.789	0.235	118910074.000	30.000
65	54	119	Xe	8378.441	0.087	118915410.713	11.141
64	55	119	Cs	8317.334	0.117	118922377.330	14.965
63	56	119	Ba	8245.928	1.683	118930659.686	214.997
62	57	119	La	8157#	3#	118941181#	322#
61	58	119	Ce	8059#	4#	118952828#	537#
77	43	120	Tc	8087#	4#	119961870#	540#
76	44	120	Ru	8201#	3#	119946310#	430#
75	45	120	Rh	8268#	2#	119936860#	210#
74	46	120	Pd	8357.085	0.019	119924551.258	2.459
73	47	120	Ag	8395.327	0.037	119918784.767	4.800
72	48	120	Cd	8458.023	0.031	119909868.067	4.000
71	49	120	In	8466.262	0.333	119907966.805	42.952
70	50	120	Sn	8504.492	0.007	119902201.873	0.962
69	51	120	Sb	8475.635	0.060	119905079.624	7.725
68	52	120	Te	8477.034	0.026	119904059.514	3.311
67	53	120	I	8423.722	0.128	119910087.465	16.440
66	54	120	Xe	8404.031	0.098	119911784.270	12.686
65	55	120	Cs	8328.480	0.083	119920677.279	10.702
64	56	120	Ba	8280.294	2.501	119926045.000	322.241
63	57	120	La	8179#	2#	119938196#	322#
62	58	120	Ce	8107#	4#	119946752#	537#
78	43	121	Tc	8056#	4#	120965883#	537#
77	44	121	Ru	8159#	3#	120951640#	430#
76	45	121	Rh	8245.239	5.119	120939613.000	665.000
75	46	121	Pd	8320.858	0.028	120928950.343	3.600
74	47	121	Ag	8382.330	0.100	120920125.282	13.000
73	48	121	Cd	8430.996	0.016	120912963.663	2.085
72	49	121	In	8463.887	0.227	120907851.286	29.430
71	50	121	Sn	8485.201	0.008	120904242.792	1.025
70	51	121	Sb	8482.066	0.021	120903810.093	2.771
69	52	121	Te	8466.883	0.214	120904942.488	27.751
68	53	121	I	8441.458	0.044	120907405.255	5.749
67	54	121	Xe	8403.832	0.085	120911453.014	10.995
66	55	121	Cs	8352.914	0.118	120917227.238	15.340
65	56	121	Ba	8293.907	1.173	120924052.289	152.333
64	57	121	La	8217#	2#	120933236#	322#
63	58	121	Ce	8132#	3#	120943435#	430#
62	59	121	Pr	8032#	4#	120955532#	537#
78	44	122	Ru	8135#	4#	121954750#	537#
77	45	122	Rh	8210#	2#	121944090#	322#
76	46	122	Pd	8305.975	0.160	121930631.694	21.000
75	47	122	Ag	8352.758	0.313	121923664.448	41.000
74	48	122	Cd	8424.266	0.019	121913459.052	2.468
73	49	122	In	8442.118	0.410	121910280.966	53.738
72	50	122	Sn	8487.907	0.020	121903444.001	2.570
71	51	122	Sb	8468.331	0.021	121905168.074	2.768
70	52	122	Te	8478.140	0.012	121903043.434	1.617
69	53	122	I	8437.023	0.043	121907588.820	5.606
68	54	122	Xe	8424.664	0.091	121908367.658	11.928
67	55	122	Cs	8359.151	0.276	121916108.145	36.164
66	56	122	Ba	8323.756	0.229	121919904.000	30.000
65	57	122	La	8235#	2#	121930710#	320#
64	58	122	Ce	8174#	3#	121937870#	430#
63	59	122	Pr	8060#	4#	121951927#	537#
79	44	123	Ru	8093#	4#	122960193#	537#
78	45	123	Rh	8186#	3#	122947010#	429#
77	46	123	Pd	8270.031	6.418	122935126.000	847.500
76	47	123	Ag	8337.803	0.250	122925337.062	33.000
75	48	123	Cd	8395.395	0.022	122916892.453	2.894
74	49	123	In	8437.946	0.161	122910433.826	21.285
73	50	123	Sn	8467.243	0.020	122905725.446	2.594
72	51	123	Sb	8472.328	0.012	122904214.016	1.616
71	52	123	Te	8465.546	0.012	122904269.747	1.615
70	53	123	I	8449.198	0.030	122905588.520	4.014
69	54	123	Xe	8420.927	0.078	122908481.750	10.238
68	55	123	Cs	8380.379	0.098	122912996.062	13.000
67	56	123	Ba	8330.208	0.098	122918781.062	13.000
66	57	123	La	8267#	2#	122926300#	210#
65	58	123	Ce	8193#	2#	122935280#	320#
64	59	123	Pr	8104#	3#	122946076#	429#
80	44	124	Ru	8068#	5#	123963542#	644#
79	45	124	Rh	8149#	3#	123951809#	429#
78	46	124	Pd	8252#	2#	123937316#	320#
77	47	124	Ag	8308.655	2.028	123928931.229	270.000
76	48	124	Cd	8387.035	0.024	123917657.363	3.215
75	49	124	In	8414.343	0.247	123913182.263	32.820
74	50	124	Sn	8467.421	0.008	123905276.692	1.088
73	51	124	Sb	8456.160	0.012	123905935.789	1.618
72	52	124	Te	8473.279	0.012	123902817.064	1.612
71	53	124	I	8441.489	0.019	123906209.021	2.566
70	54	124	Xe	8437.565	0.014	123905891.588	1.924
69	55	124	Cs	8383.432	0.067	123912257.798	8.914
68	56	124	Ba	8355.820	0.101	123915093.629	13.416
67	57	124	La	8278.292	0.457	123924574.275	60.836
66	58	124	Ce	8229#	2#	123930310#	320#
65	59	124	Pr	8128#	3#	123942940#	430#
64	60	124	Nd	8052#	4#	123952200#	540#
80	45	125	Rh	8126#	4#	124954911#	537#
79	46	125	Pd	8216#	3#	124941900#	429#
78	47	125	Ag	8293.314	3.465	124930735.000	465.000
77	48	125	Cd	8357.681	0.023	124921257.577	3.097
76	49	125	In	8408.452	0.216	124913604.591	29.010
75	50	125	Sn	8445.550	0.008	124907786.442	1.109
74	51	125	Sb	8458.170	0.021	124905252.987	2.790
73	52	125	Te	8458.045	0.012	124904429.900	1.612
72	53	125	I	8450.300	0.012	124904629.333	1.614
71	54	125	Xe	8430.890	0.015	124906394.050	1.971
70	55	125	Cs	8399.788	0.062	124909727.867	8.313
69	56	125	Ba	8358.178	0.088	124914471.843	11.800
68	57	125	La	8304.643	0.208	124920815.932	27.909
67	58	125	Ce	8242#	2#	124928440#	210#
66	59	125	Pr	8166#	2#	124937799#	322#
65	60	125	Nd	8077#	3#	124948900#	430#
81	45	126	Rh	8088#	4#	125959957#	537#
80	46	126	Pd	8197#	3#	125944326#	429#
79	47	126	Ag	8261#	2#	125934857#	215#
78	48	126	Cd	8346.747	0.020	125922429.127	2.658
77	49	126	In	8384.317	0.214	125916507.344	28.901
76	50	126	Sn	8443.523	0.083	125907658.836	11.215
75	51	126	Sb	8440.314	0.252	125907253.036	34.103
74	52	126	Te	8463.248	0.012	125903310.866	1.614
73	53	126	I	8439.944	0.030	125905623.313	4.089
72	54	126	Xe	8443.541	0.028	125904296.794	3.757
71	55	126	Cs	8399.268	0.083	125909445.655	11.166
70	56	126	Ba	8379.718	0.099	125911250.204	13.416
69	57	126	La	8312.426	0.718	125919512.667	97.163
68	58	126	Ce	8273.257	0.222	125923971.000	30.000
67	59	126	Pr	8184#	2#	125935240#	210#
66	60	126	Nd	8119#	2#	125943110#	320#
65	61	126	Pm	8005#	4#	125957756#	537#
82	45	127	Rh	8062#	5#	126963467#	644#
81	46	127	Pd	8159#	4#	126949350#	537#
80	47	127	Ag	8242#	2#	126937262#	215#
79	48	127	Cd	8316.945	0.095	126926196.624	13.000
78	49	127	In	8374.949	0.167	126917448.546	22.713
77	50	127	Sn	8420.557	0.079	126910390.401	10.796
76	51	127	Sb	8439.820	0.040	126906924.277	5.502
75	52	127	Te	8446.118	0.012	126905225.714	1.625
74	53	127	I	8445.487	0.029	126904471.838	3.915
73	54	127	Xe	8434.111	0.032	126905182.899	4.412
