compound,raw_values,measurement_wavelength
1-propanol,1.3832,
1-butanol,1.3972,
1-pentanol,1.4068,
1-hexanol,1.415,
1-heptanol,1.4246,
Methanol,1.3284,
Ethanol,1.3614,
Propanol,1.3776,
Propyl acetate,1.384,
Heptane,1.3876,
Octane,1.3914,
YBG-S,3.39,
Cu2Zn0.025Sn0.975Se3,1.91,
Cu2Zn0.025Sn0.975Se3,1.05,
Cu2Zn0.05Sn0.95Se3,2.66,
Cu2Zn0.05Sn0.95Se3,2.91,
Cu2Zn0.075Sn0.925Se3,2.33,
Cu2Zn0.075Sn0.925Se3,2.23,
DIN,1.568,
glyoxal,1.5,
Methanol,1.326,
Ethanol,1.359,
Acetonitrile,1.342,
Glycerol,1.474,
Pyridine,1.507,
"1,4-Dioxane",1.42,
CTAB,1.36,
CTAB,1.51,
Benzene,2.274,
Benzene,2.273,
Benzene,1.498,
Toluene,2.376,
Toluene,1.494,
o-xylene,2.57,
o-xylene,2.5705,
o-xylene,1.502,
p-xylene,2.352,
p-xylene,2.3525,
p-xylene,1.493,
Aniline,2.244,
Aniline,2.2591,
Aniline,2.229,
Benzene,1.1251,
Toluene,1.9175,
o-Xylene,1.2519,
p-Xylene,1.649,
Dodecane,1.4195,
Dodecane,1.3325,
Toluene,1.44,
Toluene,1.494,
DOX,2.21,
DOX,4.77,
resveratrol,1.17,
CdSe,2.5,
ZnTe,2.68,
SUS316L,2.6,
Titanium,2.5,
Zirconium,2.2,
Tantalum,2.16,
Chromium,4.43,
Nickel,2.08,
Si0.5Ge0.5,2.97,
Gefitinib,1.01,
Lapatinib,1.05,
Sunitinib,1.02,
Methanol,1.33,
Ethanol,1.36,
DMF,1.43,
Chloroform,1.44,
DMSO,1.48,
Dimethylbenzene,1.5,
Polystyrene,1.59,
silica,2.1,
BK7,1.515,
Phthalocyanine,1.42,
Acetonitrile,1.3284,
Methanol,1.3284,
Ethanol,1.3614,
Acetone,1.3586,
Isopropanol,1.3856,
Dichloromethane,1.4241,
Cyclohexane,1.424,
Argon,1.85,
Argon,1.47,
Argon,1.94,
Argon,2.3,
Argon,1.88,
AlSb,3.4342,
AlSb,3.4511,
AlSb,3.4853,
AlSb,3.5409,
AlSb,3.5937,
Benzene,1.501,
Toluene,1.497,
Ethylacetate,1.372,
Butanol,1.399,
Ethanol,1.361,
Methanol,1.329,
Acetonitrile,1.344,
DMF,1.43,
DMSO,1.479,
GaAs,3.62,
InAs,3.89,
GaN,2.39,
Ethanol,1.3612,
Ethanol,1.3611,
o-Xylene,1.5054,
o-Xylene,1.5055,
m-Xylene,1.4973,
m-Xylene,1.4972,
p-Xylene,1.4959,
p-Xylene,1.4958,
Methanol,1.32645,
Methanol,1.32652,
1-Butanol,1.39702,
1-Butanol,1.3973,
Oleic Acid,1.459,
Polyethylene glycol,1.469,
Ethanol,1.581,
Ethanol,1.369,
Methanol,1.329,
Ethanol,1.361,
2-Propanol,1.377,
1-Butanol,1.399,
Nonanol,1.427,
Decanol,1.437,
DMSO,1.479,
Acetonitrile,1.344,
ADP,1.399,
ADP,1.439,
ADP,1.466,
ADP,1.46,
ADP,1.431,
EtOH,1.4694,
DMF,1.4305,
PMMA,1.4893,
FeO,4.07,
Na2O,5.36,
K2O,4.43,
SiO2,1.79,
Al2O3,1.07,
FeO,4.09,
Na2O,5.34,
K2O,4.49,
SiO2,2.43,
Al2O3,1.45,
TiO2,3.5,
TiO2,3.5,
quinone,1.31,
quartz,1.59,
InSb,3.51,
Ibuprofen,1.05,
Ammonium sulfate (NH4)2SO4,1.53,
carbon,1.9,
Brookite,2.58,
cholesterol,5.19,
cholesterol,4.57,
PVC,6.42,
PVC,5.8,
PVC,4.71,
PVC,6.7,
PVC,5.12,
PVC,4.81,
PVC,6.6,
PVC,5.83,
PVC,5.1,
PVC,6.7,
PVC,6.2,
PVC,4.2,
Dioxane,1.42,
Ethyl acetate,1.37,
Acetonitrile,1.34,
DMSO,1.48,
1-Octanol,1.43,
1-Butanol,1.4,
n-Propanol,1.39,
Ethanol,1.35,
Methanol,1.33,
Chloroform,1.45,
PMMA,1.088,
PMMA,1.19,
Ibuprofen,1.07,
Methanol,1.329,
Acetone,1.359,
Ethanol,1.36,
Isopropanol,1.377,
ethanol,2.4,
ethanol,2,
EtOH,1.3614,
"1,1,1-Trichloroethane",1.4379,
"1,1,1-Trichloroethane",1.43792,
"1,1,2,2-Tetrachloroethane",1.494,
"1,1,2,2-Tetrachloroethane",1.49389,
Tetrachloroethylene,1.505,
Tetrachloroethylene,1.50499,
m-Cresol,1.5438,
m-Cresol,1.54381,
Titania,2.7,
Zinc oxide,2,
Quinoline,1.0929,
Aniline,1.0175,
pyrrole,1.5056,
aniline,1.5778,
Si3N4,2,
SiO2,1.45,
SiO2,1.29,
silica,1.46,
PMMA,1.49,
Polystyrene,1.59,
ABTS,2.24,
ABTS,4.72,
bilirubin,6.7,
Sucrose,5,
Raffinose,6.7,
Stachyose,6.1,
Verbascose,5.7,
Sucrose,1.39,
AlFeO3,3.07,
PEI,1.79,
PEI,1.67,
PEI,1.62,
PEI,1.65,
VB,2.5,
NPIP,1.4325,
1-Propanol,1.3855,
n-Heptane,1.388,
C5H11N,1.452,
ZnO,1.84,
ZnO,1.8,
ZnO,1.82,
"2,4,6-TCA",3.32,
Methanol,1.3286,
Toluene,1.4961,
Acetonitrile,1.3441,
HOH,1.333,
MeOH,1.326,
EtOH,1.359,
BuOH,1.397,
OcOH,1.429,
DMSO,1.476,
DMF,1.427,
MTBE,1.369,
DOX,1.42,
HEPT,1.385,
TMPTA,1.5978,
TMPTA,1.5603,
TMPTA,1.5593,
TMPTA,1.5544,
CdCl2,2.1,
CdCl2,2.36,
C2CN,1.53193,
Methanol,1.32647,
Oxalic acid,3.42,
Citric acid,1.12,
Fructose,1.05,
Sucrose,1.23,
Tetrachloromethane,1.4574,
Benzene,1.5011,
Toluene,1.4961,
Dichloromethane,1.4242,
Chloroform,1.4459,
Ethyl acetate,1.3723,
Tetrahydrofuran,1.4076,
Iso-propanol,1.3747,
Acetone,1.3588,
Methanol,1.3286,
Benzonitrile,1.5289,
Acetonitrile,1.3441,
Dimethylformamide,1.4303,
CH3OH,1.33,
CHCl3,1.45,
C6H6,1.5,
Dakar,1.52,
Dakar,1.46,
NiO,1.79,
NiO,2.3,
ZnO,1.65,
ZnO,2.01,
NiO,1.05,
NiO,1.19,
NiO –,1.3,
NiO –,1.02,
NiO –,1.29,
ZnO,1.2,
ZnO,3.3,
ZnO –,5.3,
ZnO –,4.6,
ZnO –,6.5,
TeLi,2.1,
TeLiTi-5,2.2,
TeLiTi-10,2.2,
As2S3,2.65,
As2Se3,3.01,
ZnSe,2.5907,
ZnSe(CVD),2.59,
C7H8,1.492,
CHCl3,1.444,
MeCN,1.34,
C60,1.65,
C60,6.21,
Chloroform,1.4486,
Dichloromethane,1.4237,
Carbon tetrachloride,1.4603,
"1,2-Dichloroethane",1.4237,
Glycerol,1.45,
"1,1,1-Trichloroethane",1.4383,
o-Dichlorobenzene,1.5515,
Toluene,1.4969,
p-Xylene,1.4958,
CO2,1.5162,
SiO2,1.5,
SiO,1.8,
Al2O3,1.67,
ZnO,1.9,
TiO2,2.5,
OH,5.9,
OH,3.77,
C60,1.06,
TCO,1.91,
TCO,1.93,
TCO,1.82,
TCO,1.86,
TCO,1.94,
TCO,1.96,
TCO,1.84,
TCO,1.88,
Alcohol,5.95,
Alcohol,6.04,
Alcohol,6.36,
Alcohol,6.2,
Alcohol,3.47,
Alcohol,4.7,
Alcohol,6.58,
C18H35(OCH2CH2)nOH,2,
C16H33(OCH2CH2)nOH,2,
ZnAlBiBTb0.1,1.799,
ZnAlBiBTb0.5,1.797,
ZnAlBiBTb1.0,1.795,
ZnAlBiBTb1.5,1.793,
ZnAlBiBTb2.0,1.791,
ZnAlBiBTb2.5,1.699,
ZnAlBiBTb3.0,1.697,
ZnAlBiBTb0.5,4.67,
ZnAlBiBTb1.0,3.71,
ZnAlBiBTb1.5,3.243,
ZnAlBiBTb2.0,2.948,
ZnAlBiBTb2.5,2.739,
ZnAlBiBTb3.0,2.74,
INDO,1.5823,
BSiCaLa10,1.5941,
BSiCaLa15,1.6283,
BSiCaLa20,1.6536,
BSiCaLa25,1.6542,
BSiCaLa30,1.6533,
BSiCaLa10,1.4225,
BSiCaLa15,1.5798,
BSiCaLa20,1.6622,
BSiCaLa25,1.7021,
BSiCaLa30,1.751,
Octane,1.3974,
Toluene,1.4961,
o-Dichlorobenzene,1.5515,
Butylacetate,1.394,
Triacetin,1.4305,
Methyl ethyl ketone,1.379,
Acetone,1.3588,
DMF,1.4303,
Acetonitrile,1.3441,
Ethanol,1.3611,
Argon,1.73,
Oxygen,1.67,
PAC,2.7,
PAC,3,
PAC,4.6,
PAC,4.5,
PAC,5.1,
PAC,5.3,
PAC,2.2,
PAC,2.3,
CdSe,2.86,
CdS0.17Se0.83,2.77,
CdS0.35Se0.65,2.69,
CdS0.64Se0.36,2.66,
Ethanol,1.36,
Alcohol,1.6,
Quartz,1.55,
Quartz,1.39,
Acetone-d6,1.355,
Acetonitrile-d3,1.34,
Benzene-d6,1.498,
Bromoform,1.5976,
Bromoform-d,1.595,
Carbon tetrachloride,1.5011,
Chloroform,1.4603,
Chloroform-d,1.444,
DMF-d7,1.428,
DMSO-d6,1.475,
Methanol,1.329,
Methanol-d4,1.325,
Methylene chloride,1.4243,
Methylene chloride-d2,1.421,
Methylene iodide,1.7464,
"1,1,2,2-Tetrachloroethane-d2",1.439,
Toluene,1.4969,
Toluene-d8,1.493,
CH3NO2,1.38,
CH3OH,1.33,
C2H5OH,1.36,
Acetone,1.36,
CH2Cl2,1.37,
CHCl3,1.45,
Toluene,1.5,
C6H6,1.5,
Methane,1.2,
Propane,1.8,
Ethane,2.2,
Tyrosine,3.5,
Phenylalanine,4,
Cystine,3,
Uridine,1.86,
Co-PAES,1.554,
n-Hexane,1.3748,
n-Heptane,1.3878,
Cyclohexane,1.4266,
Dioxane,1.4224,
Tetrachloromethane,1.4601,
Toluene,1.4961,
Chloroform,1.4459,
Ethyl acetate,1.3723,
Tetrahydrofuran,1.407,
Dichloromethane,1.4242,
Dichloroethane,1.4448,
n-Butanol,1.3993,
Isobutanol,1.3955,
Isopropanol,1.3776,
n-Propanol,1.3855,
Acetone,1.3588,
Ethanol,1.3611,
Methanol,1.3288,
Acetonitrile,1.3442,
DMF,1.4305,
DMSO,1.477,
NaHCO3,2.162,
silica,1.4578,
silica,1.4563,
"1,1,2,2-Tetrachloroethane",1.4917,
Chloroform,1.446,
Acetonitrile,1.344,
Toluene,1.497,
Acetone,1.359,
Ethyl acetate,1.375,
"1,4-Dioxane",1.422,
Dichloromethane,1.4242,
Acetone,1.359,
Methanol,1.329,
Ethanol,1.361,
1-Butanol,1.399,
2-Propanol,1.377,
1-Hexanol,1.418,
1-Heptanol,1.424,
1-Decanol,1.437,
DMF,1.43,
DMSO,1.479,
Polysulphone,1.63,
Polystyrene,1.595,
Polypropylene,1.49,
Polyethylene,1.54,
Polyacrylate,1.49,
BBG-5,2.2,
Silicate,1.585,
Phosphate,1.569,
Tellurite,2.04,
glucose,6.8,
glucose,6.77,
cholesterol,5.63,
cholesterol,5.62,
cholesterol,5.72,
cholesterol,1.35,
cholesterol,1.36,
cholesterol,3.55,
cholesterol,3.54,
cholesterol,3.58,
ErYb,2.048,
ErYbAg,2.0549,
Chloroform,1.4458,
Toluene,1.4969,
chloric acid,1.254,
Acetonitrile,1.344,
Acetone,1.359,
ether,1.365,
Hexane,1.375,
Tetrahydrofuran,1.407,
ZnAlBiBEr01,1.821,
ZnAlBiBEr05,1.819,
ZnAlBiBEr10,1.816,
ZnAlBiBEr20,1.811,
ZnAlBiBEr05,4.677,
ZnAlBiBEr10,3.714,
ZnAlBiBEr20,2.945,
TMPyP4,1.84,
TMPyP4,1.02,
Toluene,1.497,
DMF,1.43,
Pyridine,1.509,
DMSO,1.479,
Cu(I),3.17,
Fe(II),4.07,
Ni(II),4.4,
Mn(II),4.4,
Co(II),4.5,
Apigenin,1.02,
Morin,1.18,
Liquiritigenin,1.27,
Daidzein,1.56,
Genistein,1.06,
Ethyl acetat,6.02,
Chloroform,4.81,
Toluene,2.38,
Benzene,2.27,
Dioxane,2.21,
n-Hexane,1.88,
n-Pentane,1.84,
InCl3,1.1,
Methanol,1.33,
Ethanol,1.36,
Butanol,1.39,
Glycerol,1.47,
Toluene,1.49,
DCMP,1.7239,
Si0.75Ge0.25,3.6,
Triticonazole,1.49,
Triticonazole,4.74,
Triticonazole,2.74,
iron(II),1.5515,
iron(III),1.5427,
Pyridine,1.507,
Octanol,1.429,
Hexanol,1.418,
Butanol,1.359,
2-Propanol,1.375,
Ethanol,1.361,
Methanol,1.329,
ZnBBi,1.773,
GaP0.1Sb0.9,4.0102,
GaP0.1Sb0.9,3.9368,
GaP0.1Sb0.9,3.72,
GaP0.3Sb0.7,3.7913,
GaP0.3Sb0.7,3.6265,
GaP0.3Sb0.7,3.7032,
GaP0.5Sb0.5,3.3772,
GaP0.5Sb0.5,3.256,
GaP0.5Sb0.5,3.4501,
GaP0.7Sb0.3,3.0358,
GaP0.7Sb0.3,2.9658,
GaP0.7Sb0.3,3.158,
GaP0.9Sb0.1,2.746,
GaP0.9Sb0.1,2.7195,
GaP0.9Sb0.1,2.8641,
Talc,1.57,
Silica,1.448,
Silicon nitride,1.988,
sucrose,5.05,
HCO,1.568,
LCO,1.5418,
HCO,1.5893,
Ethanolamine,1.449,
Ethanolamine,1.445,
m-Cresol,1.535,
m-Cresol,1.53,
Aniline,4.404,
Aniline,1.582,
Aniline,1.578,
DMF,1.4305,
Acetonitrile,1.344,
DMSO,1.479,
Tetrahydrofuran,1.407,
Chloroform,1.4429,
"1,2-Dichlorobenzene",1.5514,
Ethanol,1.3614,
"2,2,2-Trifluoroethanol",1.281,
Ethyl acetate,1.37,
2-Propanol,1.377,
Benzonitrile,1.528,
Methanol,1.328,
SiN.1,1.83,
SiN.2,1.77,
SiN.3,1.75,
Eu2O3,2.189,
AMT,2.81,
AMT,3.34,
ZnO,2.075,
ZnO,2.081,
ZnO,2.131,
Sucrose,1.44,
Linalool,1.462,
OH,1.65,
OH,1.68,
OH,1.19,
OH,4,
OH,3.7,
SiO2 PECVD-30,1.47,
SiO2 PECVD-5,1.47,
SiO2,1.45,
BK7,1.52,
Methanol,1.3265,
Ethanol,1.3594,
n-Propanol,1.3837,
n-Butanol,1.3934,
n-Hexanol,1.4157,
BuOH,3.4,
CaF2,1.45,
Al2O3,1.76,
SiO2,1.538,
SiO2,1.534,
SiN1.25H0.01,2.025,
SiO2,1.45,
SiO2,1.4526,
SiO2,1.4546,
DMSO,1.479,
Acetonitrile,1.344,
Methanol,1.329,
Ethanol,1.361,
2-Propanol,1.377,
1-Butanol,1.399,
Methylamine,1.37,
Dichloromethane,1.424,
1-Decanol,1.437,
Dimethylamine,1.37,
Cyclohexane,1.426,
n-Heptane,1.388,
TiO2,1.1,
TiO2,1.92,
CH3NO2,1.38,
CH3OH,1.33,
Acetone,1.36,
CH2Cl2,1.37,
CHCl3,1.45,
Toluene,1.5,
C6H6,1.5,
NO3,3.65,
PO4,4.65,
TeO2–P2O5,2,
TeO2–ZnO,2.002,
TeO2–ZnO,1.833,
Na2O–Nb2O5,2.0578,
TeO2–ZnO,2.033,
TeO2–ZnO,2.04,
TeO2–BaF2–Na2O,1.7469,
B2O3–ZnO,2.409,
CF3CH2OH,1.2907,
CH3COOH,1.3716,
CH3(CH2)2COOH,1.3991,
CH3(CH2)4COOH,1.417,
CH3(CH2)6COOH,1.4268,
Methanol,1.3284,
Ethanol,1.3614,
Propanol,1.3856,
n-Butanol,1.3993,
Hexanol,1.4178,
Heptanol,1.423,
Octanol,1.429,
Acetonitrile,1.3284,
Dioxane,1.4224,
Toluene,1.4969,
Xylene,1.5054,
Benzene,1.5011,
Cyclohexane,1.424,
Toluene,2.95,
Toluene,1.416,
Toluene,2.56,
CH2Cl2,4.63,
CH2Cl2,1.613,
CH2Cl2,2.84,
Acetonitrile,2.14,
Acetonitrile,3.766,
DMF,1.4,
DMF,4.944,
DMF,4.44,
DMSO,1.41,
DMSO,2.955,
DMSO,2.63,
Iso-Octane,1.3899,
n-Hexane,1.3733,
VK3,1.16,
Cu(NO3)2·3H20,2.33,
CuCl2·2H20,3.44,
CuSO4·5H20,4.89,
TiO2-P2O5(PCl3),1.72,
TiO2-P2O5(H3PO4),1.81,
TiO2-P2O5(H3PO4)ref,1.99,
LiFe0.995Y0.0025Ag0.0025PO4,1.82,
LiFe0.99Y0.005Ag0.005PO4,1.81,
LiFe0.98Y0.01Ag0.01PO4,1.83,
LiFe0.995Y0.0025Ag0.0025PO4,1.99,
LiFe0.99Y0.005Ag0.005PO4,1.96,
LiFe0.98Y0.01Ag0.01PO4,1.97,
BaTiO3,2.41,
MgO,1.73,
MgAl2O4,1.73,
Al2O3,1.76,
InAs,4.476,
Tellurite,1.89,
Silicate,1.53,
Phosphate,1.54,
Window pane,1.518777,
Window pane,1.51878,
Window pane,1.520564,
Window pane,1.52056,
Window pane,1.79,
Pentanol,1.47,
Pentanol,1.465,
Pentanol,1.46,
Pentanol,1.466,
Pentanol,1.461,
ZnTe,2.39,
Zn0.94Cu0.06Te,2.47,
Zn0.92Cu0.08Te,3.03,
Zn0.90Cu0.10Te,3.2,
MeOH,1.329,
EtOH,1.361,
Dioxane,1.422,
Silicon,6.97,
Silicon dioxide,1.48,
GaAs,3.6,
AlAs,3.16,
InP,3.55,
ZnSe,2.5,
ZnTe,2.72,
Cyclohexane,1.4262,
"1,4-Dioxane",1.422,
Decanol,1.437,
1-Heptanol,1.424,
1-Hexanol,1.418,
1-Butanol,1.399,
2-Propanol,1.3772,
Acetone,1.359,
Ethanol,1.361,
Methanol,1.329,
DMF,1.43,
DMSO,1.479,
DMF,1.4,
DMSO,1.4,
Al0.04Hf0.4O0.56,1.84,
Al0.17Hf0.28O0.55,1.8,
Al0.2Hf0.22O0.58,1.8,
Al2O3,1.7,
Al2O3,3.01,
MgO,1.06,
CaO,2.96,
CO2,2.6,
SmN,4.22,
YbN,3.25,
YbN,1.74,
p-Dimethylamino benzene arsenic acid,6.3,
Phthalocyanine,2.6,
Strontium hydroxide,3.5,
N-SF2,1.834,
N-SF2,1.729,
SbNa2K,3.2,
SbNa2K,1.76,
Cs3Sb,3.22,
K2CsSb,2.05,
K2CsSb,2.7,
K2CsSb,3.25,
K2CsSb,3,
K2CsSb,2.75,
K2CsSb,2.66,
Cu3Ga5S9,2.67,
Cu3Ga5Se9,2.72,
n-pentane,1.358,
n-heptane,1.386,
n-nonane,1.406,
n-undecane,1.416,
n-tridecane,1.426,
Polystyrene,1.59,
TiO2,2.49,
BaK4,1.5688,
BK10,1.4978,
BK7,1.5168,
LaK7,1.6515,
UA-Ni(II)-BLF,2.55,
UA-Co(II)-BLF,1.99,
OA-Ni(II)-BLF,3.08,
OA-Co(II)-BLF,2.96,
DMF,1.4305,
EtOH,1.3614,
CH3NO2,1.38,
CH3OH,1.33,
C2H5OH,1.36,
Acetone,1.36,
CH2Cl2,1.37,
CHCl3,1.45,
Toluene,1.5,
C6H6,1.5,
GaAs,6.84,
Polymethyl methacrylate,1.45,
Polyvinyl fluoride,1.49,
ethylene propylene,1.34,
Polycarbonate,1.6,
Fe2O3,1.5056,
SiO2 F,1.46,
SiOF,1.45,
SiOC,1.42,
SiOC,1.462,
CeO2,2.2,
OH,1.376,
Tryptophan,1.33,
Methanol,1.3267,
Vinyl acetate,1.3926,
Pentyl acetate,1.3916,
Isopentyl acetate,1.398,
Methanol,1.32652,
Vinyl acetate,1.3934,
Pentyl acetate,1.3918,
Isopentyl acetate,1.3981,
CTAB,1.27,
Methanol,1.28,
Ethanol,1.26,
Propanol,1.27,
n-Butanol,1.26,
TiO2,2.71,
SnO2,1.98,
Tb(C),6.21,
Tb(C),6.53,
Tb(C),5.07,
Tb(C),3.09,
Tb(C),4.9,
Tb(C),3.53,
Tb(C),3.29,
simazine,1.438,
simazine,1.562,
silica,1.44,
Yttrium iron,2.15,
Sucrose,1.4601,
GaO,1.9523,
ZrZnF,1.49,
acid chloride,6.49,
acid chloride,1.5,
clonazepam,1.06,
clonazepam,1.01,
Methanol,2.01,
Ethanol,1.9,
Isopropanol,1.9,
Isopropanol,5.6,
SiO2,1.425,
SiO2,1.45,
SiO2,1.388,
SiO2,1.404,
SiO2,1.44,
SiO2,1.443,
AlGaAs,3.59,
NaOH,1.3576,
CsI,1.7876,
AgNO3,1.729,
H2O,1.333,
C18 : 0 Ouazzane,2.54,
Campesterol,2.89,
Campesterol,3.165,
Campesterol,2.87,
Campesterol,2.995,
Campesterol,2.89,
Campesterol,3.075,
Campesterol,3.11,
Stigmasterol,1.025,
Erythrodiol,1.64,
Erythrodiol,1.685,
Erythrodiol,1.39,
Erythrodiol,1.63,
Erythrodiol,1.37,
Erythrodiol,1.59,
Erythrodiol,1.38,
Quartz,1.54,
CeO2,2.2,
Lactose,2.2,
Lactose,2.88,
Lactose,2.45,
Zinc,6.16,
Zinc,5.32,
Zinc,5.66,
Vitamin B1,1.65,
Vitamin B2,5.47,
Vitamin B2,6.46,
Vitamin C,1.708,
Vitamin C,1.7,
Vitamin C,1.8,
Lactic acid,1.19,
Lactic acid,1.01,
Lactic acid,1.03,
Ethanol,3.23,
Ethanol,5.52,
Ethanol,4.69,
o-Anisidine,4.9236,
o-Anisidine,3.7701,
2-Methoxyethanol,1.9678,
2-Methoxyethanol,1.9911,
2-Ethoxyethanol,1.8447,
2-Ethoxyethanol,2.1001,
2-Butoxyethanol,2.8227,
Aniline,1.4005,
Aniline,1.406,
Aniline,1.417,
o-Anisidine,1.4005,
o-Anisidine,1.406,
o-Anisidine,1.417,
TEOS,1.43,
MDEA,1.03356,
MDEA,1.46528,
MDEA,1.4632,
MDEA,1.46105,
MDEA,1.45897,
MDEA,1.45695,
GeSbSe,2.562,
SiO2,1.444,
Silicone oil,1.399,
VIVATEC,1.53,
MTBE,1.33436,
L-alanine,1.8,
Ethanol,1.361,
Ammonia,1.355,
SiC,2.7104,
SiC,2.6916,
GaN,2.29,
GaP,3.17,
GaP,5.192,
GaAs,3.347,
GaAs,3.346,
GaN,4.43,
GaAs,2.22,
ZnSe,2.26,
ZnSe,2.44,
n-Butanol,2.5698,
n-Pentanol,3.517,
VO2,3.243,
CH3NO2,1.38,
CH3OH,1.33,
C2H5OH,1.36,
Acetone,1.36,
CH2Cl2,1.37,
CHCl3,1.45,
Toluene,1.51,
C6H6,1.5,
BK7,1.515,
Chromium,3.5771,
Hexane,1.375,
"1,4-Dioxane",1.421,
Chloroform,1.4429,
Ethyl acetate,1.372,
Tetrahydrofuran,1.4072,
Acetone,1.359,
Methanol,1.3284,
Acetonitrile,1.344,
Fluoride,1.607,
Fluoride,1.544,
Fluoride,1.452,
Ge16Sb14S70,2.31,
Ge23Sb7S70,2.25,
Ge31Sb9S60,2.35,
Ge16Sb14Se70,2.68,
Ge13Sb7Se80,2.64,
Ge23Sb7Se70,2.62,
Ge28Sb7Se65,2.59,
Ge35Sb7Se58,2.58,
Toluene,1.4941,
Chloroform,1.443,
Ethyl acetate,1.3723,
Methanol,1.329,
Acetonitrile,1.344,
DMSO,1.4787,
SO4,4.9,
SO4,4.5,
CaAS20,1.557,
carbon,3.07,
carbon,4.02,
aurantia,1.4,
Listerine,1.516,
CF2–CF2]n[CF2,3.86,
CF2–CF2]n[CF2,4.63,
Al2O3,1.783,
AlN,1.942,
AlOxNy_1,1.872,
AlOxNy_2,1.879,
AlOxNy_3,1.885,
AlOxNy_4,1.903,
AlOxNy_5,1.917,
Acetonitrile,1.58,
CHCl3,1.45,
Toluene,1.4961,
Heptane,1.3876,
m-Chloroaniline,4.2556,
m-Chloroaniline,3.7701,
2-Methoxyethanol,1.9678,
2-Methoxyethanol,1.9911,
2-Ethoxyethanol,1.8447,
2-Ethoxyethanol,2.1001,
2-Butoxyethanol,2.8227,
o-Chloroaniline,1.4005,
o-Chloroaniline,1.406,
o-Chloroaniline,1.417,
m-Chloroaniline,1.4005,
m-Chloroaniline,1.406,
m-Chloroaniline,1.417,
SiO2,1.544,
LiNbO3,2.291,
LiTaO3,2.176,
PMMA,1.484,
ZnO,1.7,
Si3N4,2.037,
VO2,2.932,
VO2,2.465,
CaAl2B2O7,1.563,
SrAl2B2O7,1.57,
CaCO3,1.681,
TiO2,2.493,
SiO2,2.654,
BK7,1.51,
Ethanol,1.3614,
Chloroform,1.4429,
Cyclohexane,1.426,
TiO2,2.6,
CeO2,2.5,
Nb2O5,2.85,
WO3,2.38,
SnO2,2.09,
MoO3,2.24,
NiO,2.18,
Ta2O5,2.21,
ZrO2,2.13,
HfO2,2.08,
HfO2,1.87,
MoO3,1.99,
Nb2O5,2.09,
NiO,1.89,
SnO2,2.03,
Ta2O5,1.99,
TiO2,2.1,
ZrO2,1.9,
SiO2,1.43,
Ta2O5,1.93,
DTAB,1.01,
DTAB,1.7,
DTAB,1.71,
DDAO,1.47,
DDAO,1.3,
DDAO,1.9,
DDAO,4.5,
DDAO,4.98,
DDAO,3.5,
DDAO,3.9,
DDAO,1.03,
DDAO,1.6,
Deionized water,1.33,
CaCl2,1.44,
Bromonaphthalene,1.66,
Tween 20,1.33,
SiO2annealed,1.5051,
SiO2annealed,1.5697,
SiO2annealed,1.6512,
SiO2annealed,1.8417,
Biotin,1.457,
Biotin,2.24,
toluene,1.5,
CHCl3,5,
Al2O3,1.754,
Helium,5.7,
Helium,5.6,
Helium,4.78,
Helium,3.69,
Helium,3.13,
Helium,2.75,
Helium,2.07,
Helium,1.79,
Helium,1.49,
Helium,1.24,
Helium,5.72,
Helium,3.93,
Helium,1.42,
Helium,3.73,
Helium,1.42,
Helium,4.8,
Helium,1.82,
Helium,6.8,
Helium,1.7,
Helium,6.9,
DMSO,1.4407,
DMSO,1.4387,
DMSO,1.4434,
Silicon,3.5,
Silicon dioxide,1.515,
Arachidic acid,1.45,
PMMA,1.491,
PEMA,1.485,
Cyanine,1.634,
DMSO,1.479,
DMF,1.4305,
Dichloromethane,1.4241,
Acetone,1.3587,
Isopropanol,1.3772,
Toluene,1.4969,
Methanol,1.328,
Acetonitrile,1.344,
Ethyl acetate,1.3724,
silica,1.457,
Silica,1.467,
CO,1.464,
NO,1.464,
BO,1.466,
n-tetradecane,1.43,
Rhamnose,2.37,
Glucose,3.21,
Fructose,2.82,
Sucrose,2.14,
Lactose,2.83,
Maltose,2.96,
Erlose,2.68,
Y2O3,1.93,
Quartz,1.46,
Sapphire,1.77,
Silicon,3.91,
Carbon dioxide,5.3,
Hydrogen sulfide,1.4695,
NaC,1.5,
NaC,3.6,
BBONd,1.62,
ZnAlBiB,1.805,
BNaNf,1.629,
Quartz,1.544,
Quartz,1.553,
Quartz,1.5485,
Kaolinite,1.533,
Kaolinite,1.577,
Kaolinite,1.555,
Halite,1.544,
Hematite,2.94,
Hematite,3.22,
Hematite,3.08,
Dolomite,1.5026,
Dolomite,1.6817,
Dolomite,1.59215,
Lizardite,1.541,
Lizardite,1.568,
Lizardite,1.5545,
Calcite,1.486,
Calcite,1.74,
Calcite,1.613,
Goethite,1.87,
Goethite,2.4,
Goethite,2.135,
Bis-GMA,1.549,
Formic Acid,1.377,
Chloroform,1.4458,
Toluene,1.4969,
ethanol,1.0002,
ethanol,1.3461,
ethanol,1.3518,
ethanol,1.3569,
ethanol,1.3591,
ethanol,1.3614,
ethanol,1.3641,
Ni BHVO-2G LA-ICP-MS,1.42,
Cu BHVO-2G LA-ICP-MS,6.65,
Rb BHVO-2G LA-ICP-MS,1.18,
Zr BHVO-2G LA-ICP-MS,3.95,
Cyclohexene,1.42,
